Chemical,Dosage,Start Time,End Time,Start Time UTC,End Time UTC,Start Time UTC Plus,End Time UTC Plus,Room,Weather
Citral,200 mic,06/07/2023 09:23:00,06/07/2023 09:38:00,06/07/2023 14:23:00,06/07/2023 14:38:00,06/07/2023 14:18:00,06/07/2023 14:43:00,Devin,Cloudy
Citral,200 mic,06/07/2023 10:09:00,06/07/2023 10:24:00,06/07/2023 15:09:00,06/07/2023 15:24:00,06/07/2023 15:04:00,06/07/2023 15:29:00,Devin,Cloudy
Citral,200 mic,06/07/2023 10:45:00,06/07/2023 11:00:00,06/07/2023 15:45:00,06/07/2023 16:00:00,06/07/2023 15:40:00,06/07/2023 16:05:00,Devin,Cloudy
Citral,200 mic,06/08/2023 10:32:00,06/08/2023 10:47:00,06/08/2023 15:32:00,06/08/2023 15:47:00,06/08/2023 15:27:00,06/08/2023 15:52:00,Devin,Cloudy
Citral,200 mic,06/08/2023 16:02:00,06/08/2023 16:17:00,06/08/2023 21:02:00,06/08/2023 21:17:00,06/08/2023 20:57:00,06/08/2023 21:22:00,Devin,Cloudy
Citral,200 mic,06/14/2023 10:05:00,06/14/2023 10:20:00,06/14/2023 15:05:00,06/14/2023 15:20:00,06/14/2023 15:00:00,06/14/2023 15:25:00,Devin,Cloudy
Citral,200 mic,06/14/2023 10:50:00,06/14/2023 11:05:00,06/14/2023 15:50:00,06/14/2023 16:05:00,06/14/2023 15:45:00,06/14/2023 16:10:00,Devin,Sunny
Citral,200 mic,06/14/2023 11:39:00,06/14/2023 11:54:00,06/14/2023 16:39:00,06/14/2023 16:54:00,06/14/2023 16:34:00,06/14/2023 16:59:00,Devin,Sunny
Citral,200 mic,06/15/2023 17:04:00,06/15/2023 17:19:00,06/15/2023 22:04:00,06/15/2023 22:19:00,06/15/2023 21:59:00,06/15/2023 22:24:00,Devin,Sunny
Citral,200 mic,06/15/2023 17:34:00,06/15/2023 17:49:00,06/15/2023 22:34:00,06/15/2023 22:49:00,06/15/2023 22:29:00,06/15/2023 22:54:00,Devin,Sunny
Citral,200 mic,06/16/2023 08:53:00,06/16/2023 09:08:00,06/16/2023 13:53:00,06/16/2023 14:08:00,06/16/2023 13:48:00,06/16/2023 14:13:00,Devin,Sunny
Citral,200 mic,06/16/2023 09:31:00,06/16/2023 09:46:00,06/16/2023 14:31:00,06/16/2023 14:46:00,06/16/2023 14:26:00,06/16/2023 14:51:00,Devin,Sunny
Citral,200 mic,06/16/2023 10:10:00,06/16/2023 10:25:00,06/16/2023 15:10:00,06/16/2023 15:25:00,06/16/2023 15:05:00,06/16/2023 15:30:00,Devin,Sunny
Citral,200 mic,06/16/2023 10:47:00,06/16/2023 11:02:00,06/16/2023 15:47:00,06/16/2023 16:02:00,06/16/2023 15:42:00,06/16/2023 16:07:00,Devin,Sunny
Citral,200 mic,06/16/2023 11:45:00,06/16/2023 12:00:00,06/16/2023 16:45:00,06/16/2023 17:00:00,06/16/2023 16:40:00,06/16/2023 17:05:00,Devin,Sunny
Citral,200 mic,06/16/2023 12:39:00,06/16/2023 12:54:00,06/16/2023 17:39:00,06/16/2023 17:54:00,06/16/2023 17:34:00,06/16/2023 17:59:00,Devin,Sunny
Citral,200 mic,07/05/2023 09:47:00,07/05/2023 10:02:00,07/05/2023 14:47:00,07/05/2023 15:02:00,07/05/2023 14:42:00,07/05/2023 15:07:00,Devin,Sunny
Citral,200 mic,07/05/2023 10:17:00,07/05/2023 10:32:00,07/05/2023 15:17:00,07/05/2023 15:32:00,07/05/2023 15:12:00,07/05/2023 15:37:00,Devin,Sunny
Citral,200 mic,07/05/2023 10:47:00,07/05/2023 11:02:00,07/05/2023 15:47:00,07/05/2023 16:02:00,07/05/2023 15:42:00,07/05/2023 16:07:00,Devin,Sunny
Citral,200 mic,07/05/2023 11:17:00,07/05/2023 11:32:00,07/05/2023 16:17:00,07/05/2023 16:32:00,07/05/2023 16:12:00,07/05/2023 16:37:00,Devin,Sunny
Citral,200 mic,07/11/2023 10:30:00,07/11/2023 10:45:00,07/11/2023 15:30:00,07/11/2023 15:45:00,07/11/2023 15:25:00,07/11/2023 15:50:00,Devin,Sunny
Citral,200 mic,07/11/2023 11:00:00,07/11/2023 11:15:00,07/11/2023 16:00:00,07/11/2023 16:15:00,07/11/2023 15:55:00,07/11/2023 16:20:00,Devin,Sunny
Citral,200 mic,07/11/2023 11:30:00,07/11/2023 11:45:00,07/11/2023 16:30:00,07/11/2023 16:45:00,07/11/2023 16:25:00,07/11/2023 16:50:00,Devin,Raining
D-Limonene,200 mic,06/01/2023 16:45:00,06/01/2023 17:00:00,06/01/2023 21:45:00,06/01/2023 22:00:00,06/01/2023 21:40:00,06/01/2023 22:05:00,Devin,Cloudy
D-Limonene,200 mic,06/01/2023 17:26:00,06/01/2023 17:41:00,06/01/2023 22:26:00,06/01/2023 22:41:00,06/01/2023 22:21:00,06/01/2023 22:46:00,Devin,Cloudy
D-Limonene,200 mic,06/02/2023 14:36:00,06/02/2023 14:51:00,06/02/2023 19:36:00,06/02/2023 19:51:00,06/02/2023 19:31:00,06/02/2023 19:56:00,Devin,Sunny
D-Limonene,200 mic,06/02/2023 15:36:00,06/02/2023 15:51:00,06/02/2023 20:36:00,06/02/2023 20:51:00,06/02/2023 20:31:00,06/02/2023 20:56:00,Devin,Sunny
D-Limonene,200 mic,06/02/2023 16:25:00,06/02/2023 16:40:00,06/02/2023 21:25:00,06/02/2023 21:40:00,06/02/2023 21:20:00,06/02/2023 21:45:00,Devin,Sunny
D-Limonene,200 mic,06/02/2023 17:21:00,06/02/2023 17:36:00,06/02/2023 22:21:00,06/02/2023 22:36:00,06/02/2023 22:16:00,06/02/2023 22:41:00,Devin,Sunny
D-Limonene,200 mic,06/05/2023 09:38:00,06/05/2023 09:53:00,06/05/2023 14:38:00,06/05/2023 14:53:00,06/05/2023 14:33:00,06/05/2023 14:58:00,Devin,Sunny
D-Limonene,200 mic,06/05/2023 10:18:00,06/05/2023 10:33:00,06/05/2023 15:18:00,06/05/2023 15:33:00,06/05/2023 15:13:00,06/05/2023 15:38:00,Devin,Sunny
D-Limonene,200 mic,06/05/2023 10:55:00,06/05/2023 11:10:00,06/05/2023 15:55:00,06/05/2023 16:10:00,06/05/2023 15:50:00,06/05/2023 16:15:00,Devin,Sunny
D-Limonene,200 mic,06/05/2023 11:31:00,06/05/2023 11:46:00,06/05/2023 16:31:00,06/05/2023 16:46:00,06/05/2023 16:26:00,06/05/2023 16:51:00,Devin,Sunny
D-Limonene,200 mic,06/05/2023 12:14:00,06/05/2023 12:29:00,06/05/2023 17:14:00,06/05/2023 17:29:00,06/05/2023 17:09:00,06/05/2023 17:34:00,Devin,Sunny
D-Limonene,200 mic,06/05/2023 12:51:00,06/05/2023 13:06:00,06/05/2023 17:51:00,06/05/2023 18:06:00,06/05/2023 17:46:00,06/05/2023 18:11:00,Devin,Sunny
D-Limonene,200 mic,06/05/2023 16:38:00,06/05/2023 16:53:00,06/05/2023 21:38:00,06/05/2023 21:53:00,06/05/2023 21:33:00,06/05/2023 21:58:00,Devin,Rainy
D-Limonene,200 mic,06/05/2023 17:11:00,06/05/2023 17:26:00,06/05/2023 22:11:00,06/05/2023 22:26:00,06/05/2023 22:06:00,06/05/2023 22:31:00,Devin,Rainy
D-Limonene,200 mic,06/05/2023 18:40:00,06/05/2023 18:55:00,06/05/2023 23:40:00,06/05/2023 23:55:00,06/05/2023 23:35:00,06/06/2023 00:00:00,Devin,Rainy
D-Limonene,200 mic,06/08/2023 12:40:00,06/08/2023 12:55:00,06/08/2023 17:40:00,06/08/2023 17:55:00,06/08/2023 17:35:00,06/08/2023 18:00:00,Devin,Cloudy
D-Limonene,200 mic,06/08/2023 14:51:00,06/08/2023 15:06:00,06/08/2023 19:51:00,06/08/2023 20:06:00,06/08/2023 19:46:00,06/08/2023 20:11:00,Devin,Cloudy
D-Limonene,200 mic,06/13/2023 09:27:00,06/13/2023 09:42:00,06/13/2023 14:27:00,06/13/2023 14:42:00,06/13/2023 14:22:00,06/13/2023 14:47:00,Devin,Cloudy
D-Limonene,200 mic,06/13/2023 10:11:00,06/13/2023 10:26:00,06/13/2023 15:11:00,06/13/2023 15:26:00,06/13/2023 15:06:00,06/13/2023 15:31:00,Devin,Cloudy
D-Limonene,200 mic,06/13/2023 10:47:00,06/13/2023 11:02:00,06/13/2023 15:47:00,06/13/2023 16:02:00,06/13/2023 15:42:00,06/13/2023 16:07:00,Devin,Sunny
D-Limonene,200 mic,06/13/2023 11:59:00,06/13/2023 12:14:00,06/13/2023 16:59:00,06/13/2023 17:14:00,06/13/2023 16:54:00,06/13/2023 17:19:00,Devin,Sunny
D-Limonene,200 mic,06/13/2023 12:37:00,06/13/2023 12:52:00,06/13/2023 17:37:00,06/13/2023 17:52:00,06/13/2023 17:32:00,06/13/2023 17:57:00,Devin,Sunny
D-Limonene,200 mic,06/26/2023 10:00:00,06/26/2023 10:15:00,06/26/2023 15:00:00,06/26/2023 15:15:00,06/26/2023 14:55:00,06/26/2023 15:20:00,Devin,Sunny
D-Limonene,200 mic,06/26/2023 10:30:00,06/26/2023 10:45:00,06/26/2023 15:30:00,06/26/2023 15:45:00,06/26/2023 15:25:00,06/26/2023 15:50:00,Devin,Sunny
D-Limonene,200 mic,06/26/2023 11:00:00,06/26/2023 11:15:00,06/26/2023 16:00:00,06/26/2023 16:15:00,06/26/2023 15:55:00,06/26/2023 16:20:00,Devin,Sunny
D-Limonene,200 mic,06/26/2023 11:30:00,06/26/2023 11:45:00,06/26/2023 16:30:00,06/26/2023 16:45:00,06/26/2023 16:25:00,06/26/2023 16:50:00,Devin,Sunny
D-Limonene,200 mic,06/26/2023 12:00:00,06/26/2023 12:15:00,06/26/2023 17:00:00,06/26/2023 17:15:00,06/26/2023 16:55:00,06/26/2023 17:20:00,Devin,Sunny
D-Limonene,200 mic,06/26/2023 12:30:00,06/26/2023 12:45:00,06/26/2023 17:30:00,06/26/2023 17:45:00,06/26/2023 17:25:00,06/26/2023 17:50:00,Devin,Sunny
D-Limonene,200 mic,07/03/2023 11:52:00,07/03/2023 12:07:00,07/03/2023 16:52:00,07/03/2023 17:07:00,07/03/2023 16:47:00,07/03/2023 17:12:00,Devin,Sunny
D-Limonene,200 mic,07/03/2023 12:22:00,07/03/2023 12:37:00,07/03/2023 17:22:00,07/03/2023 17:37:00,07/03/2023 17:17:00,07/03/2023 17:42:00,Devin,Sunny
D-Limonene,200 mic,07/03/2023 12:52:00,07/03/2023 13:07:00,07/03/2023 17:52:00,07/03/2023 18:07:00,07/03/2023 17:47:00,07/03/2023 18:12:00,Devin,Raining
D-Limonene,200 mic,07/03/2023 13:22:00,07/03/2023 13:37:00,07/03/2023 18:22:00,07/03/2023 18:37:00,07/03/2023 18:17:00,07/03/2023 18:42:00,Devin,Raining
D-Limonene,200 mic,07/03/2023 13:52:00,07/03/2023 14:07:00,07/03/2023 18:52:00,07/03/2023 19:07:00,07/03/2023 18:47:00,07/03/2023 19:12:00,Devin,Raining
D-Limonene,200 mic,07/03/2023 14:22:00,07/03/2023 14:37:00,07/03/2023 19:22:00,07/03/2023 19:37:00,07/03/2023 19:17:00,07/03/2023 19:42:00,Devin,Raining
D-Limonene,200 mic,07/03/2023 14:52:00,07/03/2023 15:07:00,07/03/2023 19:52:00,07/03/2023 20:07:00,07/03/2023 19:47:00,07/03/2023 20:12:00,Devin,Raining
D-Limonene,200 mic,07/08/2023 10:02:00,07/08/2023 10:17:00,07/08/2023 15:02:00,07/08/2023 15:17:00,07/08/2023 14:57:00,07/08/2023 15:22:00,Devin,Sunny
D-Limonene,200 mic,07/08/2023 10:32:00,07/08/2023 10:47:00,07/08/2023 15:32:00,07/08/2023 15:47:00,07/08/2023 15:27:00,07/08/2023 15:52:00,Devin,Sunny
D-Limonene,200 mic,07/08/2023 11:02:00,07/08/2023 11:17:00,07/08/2023 16:02:00,07/08/2023 16:17:00,07/08/2023 15:57:00,07/08/2023 16:22:00,Devin,Sunny
D-Limonene,200 mic,07/08/2023 11:32:00,07/08/2023 11:47:00,07/08/2023 16:32:00,07/08/2023 16:47:00,07/08/2023 16:27:00,07/08/2023 16:52:00,Devin,Sunny
D-Limonene,200 mic,07/08/2023 12:02:00,07/08/2023 12:17:00,07/08/2023 17:02:00,07/08/2023 17:17:00,07/08/2023 16:57:00,07/08/2023 17:22:00,Devin,Sunny
D-Limonene,200 mic,07/08/2023 12:32:00,07/08/2023 12:47:00,07/08/2023 17:32:00,07/08/2023 17:47:00,07/08/2023 17:27:00,07/08/2023 17:52:00,Devin,Sunny
D-Limonene,200 mic,07/24/2023 10:17:00,07/24/2023 10:32:00,07/24/2023 15:17:00,07/24/2023 15:32:00,07/24/2023 15:12:00,07/24/2023 15:37:00,Devin,Sunny
D-Limonene,200 mic,07/24/2023 10:47:00,07/24/2023 11:02:00,07/24/2023 15:47:00,07/24/2023 16:02:00,07/24/2023 15:42:00,07/24/2023 16:07:00,Devin,Sunny
D-Limonene,200 mic,07/24/2023 11:17:00,07/24/2023 11:32:00,07/24/2023 16:17:00,07/24/2023 16:32:00,07/24/2023 16:12:00,07/24/2023 16:37:00,Devin,Sunny
D-Limonene,200 mic,07/24/2023 11:47:00,07/24/2023 12:02:00,07/24/2023 16:47:00,07/24/2023 17:02:00,07/24/2023 16:42:00,07/24/2023 17:07:00,Devin,Sunny
